fleet_size,dispatch_mode,deadlock_mode,seed,n_completed,throughput_per_h,mean_wait_min,p95_wait_min,mean_cycle_min,mean_total_min,avg_n_blocked,frac_time_blocked,frac_time_travel,frac_time_idle,frac_time_charging,n_deadlock_events,deadlock_events_per_h,reroutes,manual_interventions
5,centralized,avoidance,0,595,119.0,0.7315376268693494,3.728545015604368,1.8208411206221358,2.552378747491485,1.7066666666666668,0.3201495109465584,0.38448587611571705,0.2953646129377246,0.0,135,27.0,259,1
5,centralized,avoidance,1,624,124.8,2.1955034175949355,10.40442235924931,1.962184689585242,4.157688107180177,2.0833333333333335,0.3843252885035196,0.42809823881079523,0.18757647268568522,0.0,162,32.4,291,6
5,centralized,avoidance,2,612,122.4,1.215111655812992,6.814504291238187,1.9465761108725403,3.161687766685532,2.0433333333333334,0.3537169179821631,0.4059263537251136,0.24035672829272328,0.0,153,30.6,283,5
5,centralized,avoidance,3,591,118.2,2.8512419968151725,10.67549894688861,2.072920609458865,4.924162606274038,2.16,0.43047597257610426,0.4008939469243372,0.16863008049955844,0.0,157,31.4,278,9
5,centralized,avoidance,4,612,122.4,1.1406369186501923,5.664713812444811,1.9374403487696565,3.078077267419849,1.9866666666666666,0.3610677699628952,0.42802395209581107,0.21090827794129385,0.0,169,33.8,317,2
5,centralized,avoidance,5,637,127.4,2.7195854845680696,9.610299099475174,2.007832061218331,4.7274175457864,2.1933333333333334,0.37048342321071914,0.4381085693032273,0.19140800748605358,0.0,190,38.0,311,5
5,centralized,avoidance,6,628,125.6,2.366297899114045,9.255389953221231,1.9917119366641496,4.358009835778194,2.0766666666666667,0.3690453288446771,0.4348498240117028,0.1961048471436201,0.0,172,34.4,327,2
5,centralized,avoidance,7,578,115.6,1.0512609210798562,7.026500147316343,1.9813786540831806,3.032639575163037,2.0733333333333333,0.35584784681867565,0.3949193791912082,0.24923277399011626,0.0,149,29.8,268,4
5,centralized,naive,0,594,118.8,8.575057746877459,20.480893951525303,2.1654202348768012,10.74047798175426,2.5,0.40891961479386,0.40365267283527134,0.18742771237086855,0.0,241,48.2,267,6
5,centralized,naive,1,632,126.4,4.851587646244045,15.655487940610698,2.214836730449823,7.066424376693869,2.6433333333333335,0.46796664024541734,0.45539901906094726,0.07663434069363544,0.0,289,57.8,348,6
5,centralized,naive,2,613,122.6,2.2260401954291673,8.406707307297475,2.0664400453077536,4.2924802407369205,2.3666666666666667,0.39965506071191087,0.424838264073131,0.17550667521495808,0.0,260,52.0,307,3
5,centralized,naive,3,613,122.6,3.855945181513448,13.597443826969265,2.207600367544654,6.0635455490581025,2.486666666666667,0.4407989059028184,0.43350860996267404,0.12569248413450762,0.0,285,57.0,329,4
5,centralized,naive,4,615,123.0,3.33829640879066,9.578093687476217,2.2262183509895968,5.564514759780257,2.68,0.4533340882706977,0.4348245508260015,0.11184136090330069,0.0,296,59.2,342,4
5,centralized,naive,5,600,120.0,1.3035099111863289,6.179718250492575,2.025548120559895,3.3290580317462237,2.17,0.4028134753847168,0.39623021466833336,0.20095630994694977,0.0,217,43.4,262,5
5,centralized,naive,6,573,114.6,0.21923734196777955,1.3824021281730012,1.8046585548701948,2.0238958968379746,1.79,0.3124599880297249,0.3668413530252523,0.3206986589450227,0.0,188,37.6,218,0
5,centralized,naive,7,619,123.8,4.281612827085411,10.96283501048174,2.1561297362045444,6.437742563289955,2.5433333333333334,0.43854850592681266,0.4316968407530852,0.12975465332010222,0.0,287,57.4,329,4
10,centralized,avoidance,0,206,41.2,104.55531540157337,209.91891246938047,14.09188626907074,118.64720167064411,9.27,0.8807616554078461,0.09669575789153749,0.022542586700616443,0.0,194,38.8,283,50
10,centralized,avoidance,1,193,38.6,143.48984527719762,217.17521742172167,15.708654942507597,159.1985002197052,9.403333333333334,0.9049246182721677,0.08240302332652795,0.01267235840130419,0.0,179,35.8,242,55
10,centralized,avoidance,2,212,42.4,123.99718014446167,196.27089772808523,13.573113207547177,137.57029335200883,9.293333333333333,0.8769653374985718,0.09877561653351878,0.024259045967909534,0.0,185,37.0,294,47
10,centralized,avoidance,3,201,40.2,124.72788376487883,217.7609746814863,14.288557213930355,139.0164409788092,9.363333333333333,0.8904822587618287,0.08591708761539811,0.023600653622773138,0.0,158,31.6,237,53
